run_id,domain,round,metric,applied,authoritative,divergence
sumo_transfer_v1-102,sumo_transfer_v1,1,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-102,sumo_transfer_v1,2,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-102,sumo_transfer_v1,3,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-102,sumo_transfer_v1,4,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-102,sumo_transfer_v1,5,waiting_time,3.0,3.0,0.0
sumo_transfer_v1-102,sumo_transfer_v1,6,waiting_time,8.0,8.0,0.0
sumo_transfer_v1-102,sumo_transfer_v1,7,waiting_time,16.0,16.0,0.0
sumo_transfer_v1-102,sumo_transfer_v1,8,waiting_time,32.0,30.0,2.0
sumo_transfer_v1-102,sumo_transfer_v1,9,waiting_time,52.0,53.0,-1.0
sumo_transfer_v1-102,sumo_transfer_v1,10,waiting_time,76.0,77.0,-1.0
